code,name,description,credits
151,Introductory Financial Accounting I,"Basic concepts, principles, and practices for the recording, summarizing, and interpreting of accounting data.",3
152,Introductory Financial Accounting II,"Accounting for partnerships, corporations, cash flows, certain liabilities and assets, and the analysis of financial statements.",3
199,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,12
211,Financial and Managerial Accounting for Decision Making,"Introduction to the role of accounting numbers in the process of managing a business and in investor decision making.  ACCTG 211 Financial and Managerial Accounting for Decision Making (4)The objective of this course is to introduce students to the discipline of accounting through an introduction to two of accounting's sub-disciplines, financial and managerial accounting. The more specific purpose is to provide students a basic understanding of the role of financial and managerial accounting information in the decisions of capital market participants external to a business enterprise (e.g., stockholders, banks, financial analysts, prospective stockholders), and in the decisions of those who manage business enterprises. Accounting information has an important role in the resource allocation process in our socio-economic system as a whole, as well as in each individual business enterprise. This course provides students an understanding of (1) the nature of the accounting function, and (2) how the information in accounting reports are used by various decision makers in their resource allocation decisions. In this course students will develop an understanding of (a) the five activity dimensions of accounting (the collection, recording, analysis, interpretation and reporting of information to decision makers for (mainly) their investment decisions), (b) the issues surrounding the five activity dimensions, (c) the environment in which accounting is practiced, and (d) what information is used in a number of specific decision situations, and how such information is used in such decision situations. The analysis, interpretation and decision-making orientation of this course includes a study of the procedural (mechanical and processing) aspects of the recording activity dimension which is an important means to the end --where the end is the analysis and interpretation of the information, and the reports produced by the recording/processing part of accounting. Through this focus on the recording activity dimension, students will obtain an understanding of (a) the nature and quality (strengths and weaknesses) of accounting information, (b) how to proceed in analyzing and interpreting accounting information, and (c) numerous other aspects of financial and managerial accounting. This course is an important background course for all business majors, as well as for numerous non-business majors.",4
211,Financial and Managerial Accounting for Decision Making,"The objective of this course is to introduce students to the discipline of accounting through an introduction to two of accounting's sub-disciplines, financial and managerial accounting. The more specific purpose is to provide students a basic understanding of the role of financial and managerial accounting information in the decisions of capital market participants external to a business enterprise (e.g., stockholders, banks, financial analysts, prospective stockholders), and in the decisions of those who manage business enterprises. Accounting information has an important role in the resource allocation process in our socio-economic system as a whole, as well as in each individual business enterprise. This course provides students an understanding of (1) the nature of the accounting function, and (2) how the information in accounting reports are used by various decision makers in their resource allocation decisions. In this course students will develop an understanding of (a) the five activity dimensions of accounting (the collection, recording, analysis, interpretation and reporting of information to decision makers for (mainly) their investment decisions), (b) the issues surrounding the five activity dimensions, (c) the environment in which accounting is practiced, and (d) what information is used in a number of specific decision situations, and how such information is used in such decision situations. The analysis, interpretation and decision-making orientation of this course includes a study of the procedural (mechanical and processing) aspects of the recording activity dimension which is an important means to the end --where the end is the analysis and interpretation of the information, and the reports produced by the recording/processing part of accounting. Through this focus on the recording activity dimension, students will obtain an understanding of (a) the nature and quality (strengths and weaknesses) of accounting information, (b) how to proceed in analyzing and interpreting accounting information, and (c) numerous other aspects of financial and managerial accounting. This course is an important background course for all business majors, as well as for numerous non-business majors.",4
296,Independent Studies,"Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",18
297,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",9
305,Financial Statements and Management Decisions,"Impact of management's financing, investing, and operating decisions on GAAP- based financial statements. This course is a one-semester condensed version of the traditional two-semester intermediate accounting sequence (ACCTG 371 or 471; and 472) intended for the non-accounting major. Students who have passed ACCTG 371 or 471; and 472 may not take this course for credit. It is a required course for the Finance major. Students will gain a fundamental understanding of the information conveyed in the financial statements and, as a result, develop an appreciation for its usefulness and limitations in decision making. They will also develop the prerequisite knowledge base necessary to conduct financial statement analysis as required in Level I of the Chartered Financial Analyst (CFA) exam. A financial statement user decision-making perspective, rather than the accountant/preparer approach found in the traditional intermediate accounting sequence, is emphasized. Student success in meeting the learning objectives will be assessed through a combination of exams, quizzes, assigned homework problems, and participation. The comprehensive final exam will test the student's comprehension of the relevant material.",4
310,Federal Taxation I,"Study of income determination concepts for individuals and corporations, impact of taxation on decisions, elementary research techniques, and ethical standards. ACCTG 310 Principles of Taxation (3) This course is directed to the study of concepts relative to: (a) the determination of taxable income and tax liability, (b) the influence of tax considerations on the decisions of taxpayers, and (c) elementary tax research techniques. Primary emphasis is given to concepts that are fundamental to the federal taxation of income with respect to business entities. Also, basic aspects of the taxation of individuals are introduced.The objectives of this course are to enable students to do the following: 1) apply basic tax rules and regulations to compute the taxable income and federal income tax liability for corporate and individual taxpayers, 2) incorporate tax costs and tax benefits into calculations of the net present value of cash inflows and outflows from taxable activities, 3) recognize tax planning opportunities or problems inherent in common transactions, and 4) appreciate the impact of the basis of accounting on both tax and financial reporting.Typical topics include sources of authority, structure of an income tax, property transactions, choice of entity, distribution of income, selection of jurisdiction, means of financing, and taxation of individuals. Students should be familiar with basic accounting concepts, should understand the nature of financial instruments, and should be able to apply the concept of present value and future value in estimating cash inflows and outflows.This is a required course for accounting majors and, for many of them, the only tax course that they take. Other students who meet the prerequisite requirements may take this course as an elective. Also, this principles course in taxation is a prerequisite requirement for an advanced course in taxation.Evaluation is based primarily on periodic examinations. No special facilities are required. However, students have on-line access to tax laws and regulations, tax cases, and administrative guidance. This course is generally offered every semester with enrollments of twenty to thirty students per section.",3
311,Accounting Systems and Control,"Introduction to accounting procedures to gather, to aggregate, and to report accounting data to managers and to external readers.  ACCTG 311 Accounting Information Systems (3)This course pertains to the study of accounting information systems as an important part of a firm's total information systems. The accounting cycle, as the key process providing financial information to management, is thoroughly reviewed and documented. Emphasis is given to the importance of computer-based accounting information systems in supporting internal controls and improving financial reporting, asset security and efficiency and effectiveness of performance. Course objectives: 1.) to understand the accounting model and specifically, the accounting cycle within a business entity; 2.) to process business and accounting transactions and complete the accounting cycle within a computer-based accounting information system; 3.) to analyze accounting information and related internal controls within a computer-based accounting information system; 4.) to examine relevant ethical issues; 5.) to gain an appreciation for evolving technology advancements, such as ERP's and e-commerce, and their impact on the accounting cycle and internal controls. This is a prescribed course for majors in Accounting and it serves as a foundation and prerequisite for most 300-level and 400-level accounting courses. Students will be evaluated based on performance on exams, computer-based accounting system project, and periodic homework assignments. Typically, 50% or more of student's grade is based on performance on exams. Course will be taught in either a technology classroom with computers for all students or periodic sessions in the computer lab. [Students will require consistent access to a computer to complete computer-based accounting system project].",3
312,Accounting Technology Lab,"Hands-on course to teach accounting software, applications of spreadsheets and databases in accounting, and surveying of underlying database theory.  ACCTG 312 Accounting Technology Lab (3) This is a hands-on course to teach accounting software, applications of spreadsheets and databases in accounting, and surveying of underlying database theory .",3
340,Cost Accounting,"Accounting for manufacturing concerns; actual and standard cost systems, and managerial uses of cost data.",3
371,Intermediate Accounting I,"Financial accounting methods, theory and concepts; analysis of problems in applying concepts to financial statements and asset accounts.",4
399,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,12
403,Auditing,"Financial compliance, internal, and operational audits; standards and procedures; sampling; EDP auditing; professional issues; application of concepts through written responses.  ACCTG 403 Auditing (3)Financial statement, regulatory and contract compliance, internal and operational audits, professional standards and ethical conduct; statistical and judgmental sampling; the audit-impact of information technology; audit risk and internal control structure evaluation; application of procedures in transaction cycles; audit reporting; professional issues.",3
403,Auditing,"Financial, compliance, internal, and operational audits; standards and procedures; sampling; EDP auditing; professional issues; application of concepts through written responses.  ACCTG 403W Auditing (3) Financial statement, regulatory and contract compliance, internal and operational audits, professional standards and ethical conduct; statistical and judgmental sampling; the audit-impact of information technology; audit risk and internal control structure evaluation; application of procedures in transaction cycles; audit reporting; professional issues.",3
404,Managerial Accounting: Economic Perspective,"Accounting techniques as planning, control, and motivating devices in business and other organizations; accounting data for decision making and performance evaluation. ACCTG 404 Managerial Accounting (3) This course emphasizes the use of accounting information for internal purposes as opposed to the external disclosure focus of the financial accounting course. The cost covers the vocabulary and mechanics of cost accounting and the design of management accounting systems for planning and controlling operations, and for motivating personnel. The course integrates accounting with ideas from data analysis, decision analysis, finance, microeconomics, and operations management. The themes stressed throughout the course will be the notion that information is costly; the circumstances that necessitate cost allocation, the idea that different costs and different allocation schemes apply for different purposes; and fundamentals of incentive and compensation plans. Among the topics covered are cost behavior, cost-volume analysis, relevant costs, and the use of cost information for decision making. The course will rely on lectures and discussion of case studies.",3
405,Principles of Taxation I,"Elements of tax policy and tax-planning concepts for personal and business decision making; with emphasis on taxation of individuals.  ACCTG 405 Principles of Taxation (3) Introduction to Taxation, is the first course that undergraduate accounting majors take that is devoted entirely to taxation. Although the course is intended for accounting majors, the content is relevant to finance majors seeking elective courses. The objective of the course is to provide students with a basic understanding of the concepts, terminology, and decision-making skills specific to the discipline of taxation that are germane to the professional development of those preparing for a career in accounting. Although the course surveys the many forms of taxation that are found in industrialized societies, and the comparisons thereof, the main focus is on the federal income taxation of individuals. However, coverage is provided regarding the manner in which the taxation of individuals relates to corporate and partnership entities. ACCTG 405 is related to other accounting courses through its coverage of income concepts, and micro-economic principles. The former compares differences in the measurement of financial accounting income with the manner in which income is determined according to the tax laws. The latter emphasizes business decision-making principles that are important in the managerial portion of the accounting program. The course covers topics that illustrate fundamental tax strategies and how such enable taxpayers to achieve business and personal economic objectives. The assessment process in ACCTG 405 incorporates examinations, homework assignments, and individual and group projects. The exams are combinations of objective questions and open-ended problems. Exams are often given in the evening. Course learning aids include a text book, on-line tax research services, spreadsheet software, and a packet of handouts prepared by instructors to keep the classes updated on the many changes in the tax laws that occur each year.",3
406,Principles of Taxation II,"Impact of federal tax structure on business decisions, research methodology, tax planning; ethical considerations of tax practice.",3
410,Federal Taxation II,An examination of the rules and forms used to compute the federal tax liability of corporations and partners.,3
411,Accounting Practicum:  VITA,Introduces students to practical aspects of tax preparation through the IRS' VITA program and completion of a tax research project.,3
